9,2,2,10,10,10,10,10,2,0.38888888888888884,0
-1,10,10,-1,10,2,-1,-1,-1,0.3333333333333333,0
9,3,9,10,10,10,1,2,10,0.4444444444444444,1
1,10,-1,10,10,-1,10,10,-1,0.16666666666666666,0
2,10,10,10,10,10,10,10,10,0.2,0
10,10,1,10,10,10,10,10,10,0.2,0
1,10,1,10,10,10,10,10,10,0.19642857142857142,0
1,10,-1,10,10,-1,10,10,-1,0.16666666666666666,0
10,10,-1,10,10,-1,-1,-1,-1,0.21715817694369974,0
10,1,10,10,10,1,2,10,10,0.21746031746031746,0
10,4,9,10,10,10,10,10,10,0.25,0
